id,text,a0,a1,a2,a3
3670,batalkan pertemuan medis akhir pekan ini,,,,id
3671,bitte erstelle eine veranstaltung für montag,,,,de
3672,i heard ale just got married can you please show me the wedding pictures on their instagram,,,,en
3673,supprimer les travails de routine de ma liste de choses à faire,,,,fr
3674,har jag ställt in mitt hemlarm,,,,sv
3675,qual è la mia prossima sveglia,,,,it
3676,trova un dibattito sulle scuole in italia,,,,it
3677,apa alamat amber stevens apa ada di kontakku,,,,id
3678,patugtugin para sa akin ang kanta ni francis magalona mula sa spotify,,,,tl
3679,läs kontaktnumret för alex från telefonboken,,,,sv
3680,faz isto um pouco mais alto,,,,pt
3681,hola siri has escuchado alguna broma graciosa últimamente,,,,es
3682,me remonter le moral,,,,fr
3683,salut quel genre de photos vous avez téléchargé sur pinterest,,,,fr
3684,ik heb een e-mail gekregen van sandra,,,,nl
3685,cancella quell' elemento dalla mia lista,,,,it
3686,tumugon sa email na natanggap mula kay pedro,,,,tl
3687,yatak odamdaki ışıkları kapat,,,,tr
3688,rufe das kundenhandy über amail an,,,,de
3689,fotosentez i açıkla,,,,tr
3690,verwyder take van my te doen lys,,,,af
3691,quanto é vinte por cento de cento e cinquenta,,,,pt
3692,benim için sesli kitap tan bir michael jackson şarkısı çal,,,,tr
