id,text,a0,a1,a2,a3
3600,que dia é hoje,,,,pt
3601,elektrik süpürgesini etkinleştir,,,,tr
3602,encontra algum rock,,,,pt
3603,taxa do dólar para o peso filipino,,,,pt
3604,finde etwas rock,,,,de
3605,add my mom to calendar for monday brunch,,,,en
3606,nyalakan alarm pukul delapan pagi,,,,id
3607,quando é o próximo jogo do benfica,,,,pt
3608,jogue poker comigo,,,,pt
3609,ek het gehoor anna is pas getroud kan jy asseblief vir my die trou foto's op hul instagram wys,,,,af
3610,hur många saker har jag planerade ikväll,,,,sv
3611,lembrar me que tenho uma reunião amanhã às três da tarde,,,,pt
3612,how long does it take the train to get from here and the met,,,,en
3613,kan du radera alla mina tidsbokningar i kalendern,,,,sv
3614,spiele poker mit mir,,,,de
3615,bugün adana şehir tiyatrosunda veba saat kaçta,,,,tr
3616,será que eu pus o alarme de casa,,,,pt
3617,poner una notificación el cinco de marzo que tengo una cita con el médico a las diez de la mañana,,,,es
3618,ich möchte eine antwort senden,,,,de
3619,por favor fija evento el lunes,,,,es
3620,kollar alla på min facebooklista på matchen,,,,sv
3621,check if any alarm is there after five am,,,,en
