id,text,a0,a1,a2,a3
3751,speichere dieses lied in meinen favoriten,,,,de
3752,herinner me op dit moment,,,,nl
3753,jouer le nom d'un program radio,,,,fr
3754,vad är tjugo procent av etthundrafemtio,,,,sv
3755,répond à l' e-mail d' anthony,,,,fr
3756,hoe laat is die funksie van die verhoogstuk hester in die baxter teater vandag,,,,af
3757,apaga el enchufe wemo,,,,es
3758,is het beter om te investeren of te sparen,,,,nl
3759,devo levar um guarda-chuva comigo hoje,,,,pt
3760,lijst lokale lopende tentoonstellingen,,,,nl
3761,how many bases has nick swisher stolen in his career,,,,en
3762,buscar no email mensagens novas de,,,,pt
3763,set a notification for fifth march that i have a doctor's appointment at ten am,,,,en
3764,heb ik mijn huis alarm ingesteld,,,,nl
3765,bel de klant mobiel via e-mail,,,,nl
3766,matikan lampu di kamar tidur saya,,,,id
3767,wemo kragprop aan,,,,af
3768,hoeveel dingen heb ik voor vanavond gepland,,,,nl
3769,ai-je réglé l'alarme de ma maison,,,,fr
3770,wanneer is die volgende ellispark leeus wedstryd,,,,af
3771,vad är min vän jonas telefonnummer,,,,sv
3772,akşam on ile sabah dokuz arasında alınan tüm maillere cevap verilecek,,,,tr
3773,wie lange braucht der zug von hier bis zur oper,,,,de
3774,balas ke surat elektronik yoyo hari ini dan katakan saya akan terlambat,,,,id
3775,ask me easy questions about a subject i know and tell me when i'm wrong,,,,en
3776,lis les numéro de téléphone d alex dans mes contacts,,,,fr
3777,wie viele bases hat nick swisher in seiner karriere gestohlen,,,,de
3778,dois-je emporter un parapluie avec moi aujourd'hui,,,,fr
3779,paghahanap ng email ng mga bagong mensahe mula sa,,,,tl
3780,que pouvez-vous faire,,,,fr
3781,speichere dieses lied,,,,de
3782,leggi il numero del contatto alex dalla mia rubrica,,,,it
3783,ilagay ang bagay sa listahan,,,,tl
3784,auf welchen tag fällt ostern dieses jahr,,,,de
3785,reply to john's email today saying i will be late,,,,en
3786,sollte ich heute eine jacke tragen,,,,de
3787,bersiaplah butuh trek musik saya,,,,id
3788,eliminar tarea de casa de mi lista de tareas pendientes,,,,es
3789,bana yarın saat öğleden sonra üçteki toplantıyı hatırlat,,,,tr
3790,s'il vous plaît définir événement le lundi,,,,fr
3791,he oído que mario se acaba de casar puedes enseñarme las fotos de la boda en su instagram,,,,es
3792,all emails received between ten p. m. to nine am is to be replied to,,,,en
3793,envoie ça,,,,fr
3794,a che ora è il castello magico al teatro piccolo oggi,,,,it
3795,orçun'un e-postasını yanıtla,,,,tr
3796,wat kan je doen,,,,nl
3797,pinakabagong balita mula sa benguet,,,,tl
3798,ho qualche email da mario rossi,,,,it
3799,please add an event to my schedule,,,,en
3800,sla dit liedje op in mijn favorieten,,,,nl
3801,hej vilka bilder har du laddat upp på pinterest,,,,sv
3802,éteindre les lumières dans ma chambre,,,,fr
3803,nilai tukar antara mata uang ini,,,,id
3804,hur många dagar tills tjugofemte maj,,,,sv
3805,hey siri hast du vor kurzem irgendwelche neue witzige witze gehört,,,,de
3806,necesito usar abrigo,,,,es
3807,anong araw ang pasko ng pagkabuhay sa taong ito,,,,tl
3808,simpan lagu ini,,,,id
3809,bunu biraz daha yüksek sesli yap,,,,tr
3810,how many things do i have planned tonight,,,,en
3811,voglio ascoltare la radio,,,,it
3812,maak een evenement voor maandag aan alsjeblieft,,,,nl
3813,pon el elemento en la lista,,,,es
3814,apa akibatnya jika saya makan junk food dan alkohol,,,,tl
3815,ilang araw na lang hanggang sa ikadalawamput lima ng mayo,,,,tl
3816,je voudrais envoyer une réponse,,,,fr
3817,tutti quelli sulla mia lista facebook stanno guardando la partita,,,,it
3818,responde ao email recebido do pedro,,,,pt
3819,lahat ba ng nasa facebook list ko ay nanonood ng laro,,,,tl
3820,ilang taon si ogie alcasid,,,,tl
3821,gee my asseblief aanwysings na 'n park naby my,,,,af
3822,vra my maklike vrae oor 'n onderwerp wat ek ken en se vir my wanneer ek verkeerd is,,,,af
3823,wemo uttag av,,,,sv
3824,sauvegarde cette chanson,,,,fr
3825,hur gammal är mikael persbrant,,,,sv
3826,lütfen etkinliği pazartesiye ayarla,,,,tr
3827,i want to hear the radio,,,,en
3828,elimina la reunión programada para el cuatro de octubre a las doce,,,,es
3829,siapakah aktris paling populer di amerika,,,,id
3830,aziona l' aspirapolvere,,,,it
3831,tipo de cambio del dólar de filipinas peso,,,,es
3832,lys plaaslike deurlopende uitstallings,,,,af
3833,voeg my ma by vir laat ontbyt maandag,,,,af
3834,groseriye bir şikayet tweeti atmak istiyorum,,,,tr
3835,que puedo hacer,,,,es
3836,correo electrónico búsqueda nuevos mensajes de,,,,es
3837,aliye'nin yeni evlendiğini duydum lütfen bana düğün fotoğraflarını instagram'larında gösterir misin,,,,tr
3838,watter gebeure is aan die gang vandag in parklands,,,,af
3839,väck mig vid åtta noll noll,,,,sv
3840,facebook listemdeki herkes oyunu izliyor mu,,,,tr
3841,cuál es mi próxima alarma,,,,es
3842,what is the weight of an elephant,,,,en
3843,bugün hangi gün,,,,tr
3844,herinner mij er aan dat ik een vergadering heb om drie uur morgenmiddag,,,,nl
3845,putar musik instrumental lembut,,,,id
3846,kukuha ba ako ng payong ngayon,,,,tl
3847,devo prendere un ombrello oggi,,,,it
3848,beantwoord de email ontvangen van peter,,,,nl
3849,ho impostato l' allarme di casa,,,,it
3850,email suche nach neuen nachrichten von,,,,de
3851,atur alarm untuk jam delapan pagi besok,,,,id
3852,play soft instrumental songs,,,,en
3853,quant'è il venti percento di centocinquanta,,,,it
3854,speel softe instrumentale liedjes,,,,nl
3855,kijkt iedereen op mijn facebook lijst naar de game,,,,nl
3856,speel sirius op satelliet radio,,,,nl
3857,trouve du rock,,,,fr
3858,verwijder de klusjes van mijn te doen lijst,,,,nl
3859,jam berapa di depok,,,,id
3860,wie viele sachen habe ich für heute abend geplant,,,,de
3861,quando è la prossima partita del napoli,,,,it
