id,text,a0,a1,a2,a3
3622,welcher tag ist heute,,,,de
3623,hervat die braaidag liedjies,,,,af
3624,stoor hierdie liedjie,,,,af
3625,nagpapasaya sa akin,,,,tl
3626,op welke dag valt pasen dit jaar,,,,nl
3627,jam berapa pertunjukan srimulat di panggung senayan hari ini,,,,id
3628,säg mig närmaste matbutik från mitt hem tack,,,,sv
3629,hey siri have you heard any funny jokes lately,,,,en
3630,kirim itu,,,,id
3631,do you want to play monopoly with me,,,,en
3632,poderia deletar todos meus compromissos do calendário,,,,pt
3633,moet ik een jas dragen,,,,nl
3634,el correo de cristina es sobre trabajo,,,,es
3635,gelecek pazar için herhangi bir hatırlatıcım var mı,,,,tr
3636,spela lady gaga och börja med poker face,,,,sv
3637,guarda esta música nos meus favoritos,,,,pt
3638,che giorno è oggi,,,,it
3639,bir sonraki alarmım hangisi,,,,tr
3640,ano ang susunod kong alarm,,,,tl
3641,wil jij monopoly met mijn spelen,,,,nl
3642,patayin ang wemo plug socket,,,,tl
3643,senaste nyheterna från västra frölunda,,,,sv
3644,vind 'n debat oor skole in suid-afrika,,,,af
3645,saya butuh fokus yang lebih baik olly saya tidak dapat berkonsentrasi pada satu hal,,,,id
3646,kahramanlık marşları na devam et,,,,tr
3647,apa gunung tertinggi di dunia,,,,id
3648,algum email marcado como importante,,,,pt
3649,önemli olarak işaretlenmiş herhangi bir posta,,,,tr
3650,stäng av lamporna i mitt sovrum,,,,sv
3651,activeer de stofzuiger,,,,nl
3652,heb ik enige herineringrn voor aanstaande zondag,,,,nl
3653,quali eventi sono in programma oggi a napoli,,,,it
3654,toca rita guerra começando com chegar a ti,,,,pt
3655,avvia sirius dalla radio satellitare,,,,it
3656,sende das,,,,de
3657,que hora es en nueva york,,,,es
3658,do i have any remainder next sunday,,,,en
3659,ich möchte einen neuen twitterbeitrag als beschwerde an kaufland,,,,de
3660,verwijder de geplande vergadering op vier oktober om twaalf uur,,,,nl
3661,mach das ein wenig lauter,,,,de
3662,när anländer nästa tåg till södra station från centralstationen,,,,sv
3663,s'il vous plaît dites moi l' épicerie la plus proche de chez moi,,,,fr
3664,semua email yang diterima antara pukul sepuluh malam sampai sembilan pagi untuk dibalas,,,,id
3665,should i carry an umbrella with me today,,,,en
3666,mina favoriter musik,,,,sv
3667,set alarm for eight am tomorrow,,,,en
3668,what's my next alarm,,,,en
3669,wil jy monopoly saam met my speel,,,,af
