id,text,a0,a1,a2,a3
3881,cari debat tentang sekolah di inggris,,,,id
3882,benimle monopol oynamak ister misin,,,,tr
3883,alarm me at eight am,,,,en
3884,what causes if i had junk food and alcohols,,,,en
3885,watter dag val paasfees op die jaar,,,,af
3886,lista de exposições locais em funcionamento,,,,pt
3887,hitta någon rock,,,,sv
3888,valore del dollaro verso euro,,,,it
3889,wo sollte ich heute abend in berlin abendessen,,,,de
3890,que eventos estão a acontecer hoje em coimbra,,,,pt
3891,berapa usia afgan,,,,id
3892,envía eso,,,,es
3893,cosa sta accadendo in giappone,,,,it
3894,lese die kontaktnummer von alex vom telefonbuch,,,,de
3895,tolong hapus semua janji temu saya di kalender,,,,id
3896,hallo wat voor soort foto's heb je geüpload in pinterest,,,,nl
3897,veuillez éteindre la lampe,,,,fr
3898,enumerar exposiciones locales en curso,,,,es
3899,återuppta minneslåtar,,,,sv
3900,find a debate about schools in u. k.,,,,en
3901,wemo steckdose an,,,,de
3902,saan ako pupunta para sa hapunan sa makati ngayong gabi,,,,tl
3903,aggiungi l'elemento alla lista,,,,it
3904,resume the memorial songs,,,,en
3905,hitta debatt om skolor i storbritannien,,,,sv
3906,ricordami in questo momento,,,,it
3907,can i get the directions to the nearest bar,,,,en
3908,antwort an john's email von heute sage ich werde verspätet sein,,,,de
3909,quel est ma prochaine alarme,,,,fr
3910,vérifier si une alarme est là après cinq heures du matin,,,,fr
3911,dollar rate of philippiness peso,,,,en
3912,a maria já respondeu ao meu email,,,,pt
3913,is dit beter om te belê of te spaar,,,,af
3914,sollte ich heute einen regenschirm mitnehmen,,,,de
3915,ricordami che ho una riunione domani alle quindici,,,,it
3916,antworte auf die email von peter,,,,de
3917,spela poker med mig,,,,sv
3918,hoe lang doet de trein erover om van hier naar met te komen,,,,nl
3919,lütfen programıma bir etkinlik ekle,,,,tr
3920,em que dia calha a páscoa este ano,,,,pt
3921,vee daardie item van my lys,,,,af
3922,hoeveel dae is dit tot vyf en twintig mei,,,,af
3923,cuándo llega el próximo tren a union station desde grand central station,,,,es
3924,wat is twintig persent van 'n honderd en vyftig,,,,af
3925,wat is mijn volgende wekker,,,,nl
3926,gör mig glad,,,,sv
3927,definir lo que es un mago,,,,es
3928,spela radio med rockmusik,,,,sv
3929,ilista ang presyo ng stock para sa stock ng kumpanyang ito,,,,tl
3930,is the mail from chris about work,,,,en
3931,stuur dat,,,,nl
3932,find some rock,,,,en
3933,responde al correo electrónico de elisa hoy diciendo que llegaré tarde,,,,es
3934,cual es el numero de teléfono de mi amigo juan,,,,es
3935,annuleer doktersafspraken dit weekeinde,,,,nl
3936,olly jag måste koncentrera mig,,,,sv
3937,relance les chansons de rock,,,,fr
3938,apaga las luce de mi habitación,,,,es
3939,hey siri son zamanlarda hiç komik bir fıkra duydun mu,,,,tr
3940,uydu radyosunda sirius çal,,,,tr
3941,ek moet beter fokus olly ek kon nie op 'n enkele taak konsentreer nie,,,,af
3942,lees het contact nummer van alex uit het telefoonboek,,,,nl
3943,hapus tugas dari daftar yang harus dilakukan saya,,,,id
3944,wann kommt der nächste zug für stadtmitte von hauptbahnhof an,,,,de
3945,spiele sirius auf dem satellitenradio,,,,de
3946,anong nangyayari sa pilipinas,,,,tl
3947,quanti anni ha antonello venditti,,,,it
3948,buat ini sedikit lebih kencang,,,,id
3949,bu para birimleri arasında çevir,,,,tr
3950,i want to tweet a complaint to target,,,,en
3951,que horas são em portugal,,,,pt
3952,neuste nachrichten aus hamburg,,,,de
3953,cuantos días hay hasta el veinticinco de mayo,,,,es
3954,beur my op,,,,af
3955,buksan ang vacuum,,,,tl
3956,ti andrebbe di giocare con me a monopoli,,,,it
3957,stel me gemakkelijke vragen over een onderwerp dat ik ken en vertel me wanneer ik het mis heb,,,,nl
3958,mangyaring bigyan ako ng direksyon sa isang parke malapit sakin,,,,tl
3959,gib mir die wegbeschreibung zu einem park nahe mir,,,,de
3960,har jag någon påminnelse nästa söndag,,,,sv
3961,encuentra un debate sobre los colegios en reino unido,,,,es
3962,wecke mich um acht uhr,,,,de
3963,tolong cek alarm lainnya yang ada setelah jam lima pagi,,,,id
3964,je veux écouter la radio,,,,fr
