id,text,a0,a1,a2,a3
2400,o que quer dizer esta palavra,,pt,pt,
2401,anneme bir email iletisine ihtiyacım var onu görmek için bir ziyaret planlıyorum ona havanın nasıl olduğunu sor ki çantamı nasıl hazırlamam gerektiğini bileyim,,tr,tr,
2402,desligar o candeeiro no quarto,,pt,pt,
2403,quero as luzes cor-de-laranja ligadas,,pt,pt,
2404,ausschalten der schlafzimmer lampe,,de,de,
2405,personal digital assistant,,en,en,
2406,film apa yang dibintangi cecep arif rahman,,id,id,
2407,define um alarme para as aulas de dança duas horas antes de as aulas começarem,,pt,pt,
2408,por favor começa o próximo episódio do podcast,,pt,pt,
2409,wys die volume instellings,,af,af,
2410,vad är klockan i paris,,sv,sv,
2411,gosto desta música que está a tocar,,pt,pt,
2412,i just want to know some information about you,,en,en,
2413,var god radera allt i min kalender,,sv,sv,
2414,starte bitte die nächste episode des podcasts,,de,de,
2415,kızılcahamam ankara'da hava,,tr,tr,
2416,quais são as novas atualizações no destak,,pt,pt,
2417,dónde actuará el chico de fallout,,es,es,
2418,was ist die durchschnittliche temperatur in münchen diese woche,,de,de,
2419,cuál es el tiempo en vigo,,es,es,
2420,ta bort alla evenemang tjugosjätte december,,sv,sv,
2421,groceries list,,en,en,
2422,was bedeutet dieses wort,,de,de,
2423,wie is die president van suid afrika,,af,af,
2424,in watter stad is elvis gebore,,af,af,
2425,narinig ko na kakasal lang ni lea pwede bang ipakita mo sa akin ang wedding pictures sa instagram nila,,tl,tl,
2426,stel voor elke zondag een terugkerend bezoek aan de supermarkt in,,nl,nl,
2427,cuaca semarang,,id,id,
2428,när är min tandläkar tid,,sv,sv,
2429,play the bjork album i've heard the least,,en,en,
2430,cari makanan favorit anda,,id,id,
2431,turn the lights blue,,en,en,
2432,apagar tudo no meu calendário,,pt,pt,
2433,op welke temperatuur moet ik koekjes bakken,,nl,nl,
2434,dónde está la tienda de tabaco más cercana,,es,es,
2435,bodrum için hava durumu nasıl,,tr,tr,
2436,var kommer johanna nordström ifrån,,sv,sv,
2437,quando é a minha pausa para almoço,,pt,pt,
2438,cosa significa questa parola,,it,it,
2439,lütfen esra ile lokantadaki brunchı takvimime ekle,,tr,tr,
2440,paki dagdag ang brunch kasama si erin sa ang aking kalendaryo ko sa kainan,,tl,tl,
2441,schakel de lichten om naar blauw,,nl,nl,
2442,ano ang kahulugan ng maikli,,tl,tl,
2443,jag vill lyssna på santiago,,sv,sv,
2444,voeg by weeklikse een n. m. oproep in kalender,,af,af,
2445,saya ingin penerangan warna biru,,id,id,
