id,text,a0,a1,a2,a3
2400,o que quer dizer esta palavra,,,pt,
2401,anneme bir email iletisine ihtiyacım var onu görmek için bir ziyaret planlıyorum ona havanın nasıl olduğunu sor ki çantamı nasıl hazırlamam gerektiğini bileyim,,,tr,
2402,desligar o candeeiro no quarto,,,pt,
2403,quero as luzes cor-de-laranja ligadas,,,pt,
2404,ausschalten der schlafzimmer lampe,,,de,
2405,personal digital assistant,,,en,
2406,film apa yang dibintangi cecep arif rahman,,,id,
2407,define um alarme para as aulas de dança duas horas antes de as aulas começarem,,,pt,
2408,por favor começa o próximo episódio do podcast,,,pt,
2409,wys die volume instellings,,,af,
2410,vad är klockan i paris,,,sv,
2411,gosto desta música que está a tocar,,,pt,
2412,i just want to know some information about you,,,en,
2413,var god radera allt i min kalender,,,sv,
2414,starte bitte die nächste episode des podcasts,,,de,
2415,kızılcahamam ankara'da hava,,,tr,
2416,quais são as novas atualizações no destak,,,pt,
2417,dónde actuará el chico de fallout,,,es,
2418,was ist die durchschnittliche temperatur in münchen diese woche,,,de,
2419,cuál es el tiempo en vigo,,,es,
2420,ta bort alla evenemang tjugosjätte december,,,sv,
2421,groceries list,,,en,
2422,was bedeutet dieses wort,,,de,
2423,wie is die president van suid afrika,,,af,
2424,in watter stad is elvis gebore,,,af,
2425,narinig ko na kakasal lang ni lea pwede bang ipakita mo sa akin ang wedding pictures sa instagram nila,,,tl,
2426,stel voor elke zondag een terugkerend bezoek aan de supermarkt in,,,nl,
2427,cuaca semarang,,,id,
2428,när är min tandläkar tid,,,sv,
2429,play the bjork album i've heard the least,,,en,
2430,cari makanan favorit anda,,,id,
2431,turn the lights blue,,,en,
2432,apagar tudo no meu calendário,,,pt,
2433,op welke temperatuur moet ik koekjes bakken,,,nl,
2434,dónde está la tienda de tabaco más cercana,,,es,
2435,bodrum için hava durumu nasıl,,,tr,
2436,var kommer johanna nordström ifrån,,,sv,
2437,quando é a minha pausa para almoço,,,pt,
2438,cosa significa questa parola,,,it,
2439,lütfen esra ile lokantadaki brunchı takvimime ekle,,,tr,
2440,paki dagdag ang brunch kasama si erin sa ang aking kalendaryo ko sa kainan,,,tl,
2441,schakel de lichten om naar blauw,,,nl,
2442,ano ang kahulugan ng maikli,,,tl,
2443,jag vill lyssna på santiago,,,sv,
2444,voeg by weeklikse een n. m. oproep in kalender,,,af,
2445,saya ingin penerangan warna biru,,,id,
2446,amerikanın başkanı kimdir,,,tr,
2447,olly nama toko musik dalam radius sepuluh mil,,,id,
2448,existe algum lembrete para mim,,,pt,
2449,benim için hiç hatırlatma var mı,,,tr,
2450,beställ någonting online åt mig,,,sv,
2451,ik heb een e-mailketen naar mijn moeder nodig ik plan een reis om haar te zien haar vragen hoe het weer zal zijn zodat ik weet hoe ik moet inpakken,,,nl,
2452,wat is de weersvoorspelling voor arnhem,,,nl,
2453,preparati a mandare un messaggio di risposta,,,it,
2454,de onde é o marco paulo,,,pt,
2455,ora a new york,,,en,
2456,suche nach deinen favorisierten gerichte,,,de,
2457,enviar esta canción a mis favoritos,,,es,
2458,what is the weather forecast for chicago,,,en,
2459,wie ist das wetter in hamburg,,,de,
2460,stel een maandelijkse herinnering in voor het betalen van huur,,,nl,
2461,spiel mir das madonna lied aus dem hörbuch,,,de,
2462,kolla emejlklient,,,sv,
2463,quand est mon rendez-vous chez le dentiste,,,fr,
2464,kapan kereta terakhir dari tempat kerja berangkat,,,id,
2465,does the restaurant have delivery,,,en,
2466,kan du skapa ett nytt event i min kalender tack,,,sv,
2467,please delete all meetings of today after seven p. m.,,,en,
2468,please add brunch with erin to my calendar at the diner,,,en,
2469,verander die ligte blou,,,af,
2470,berapa nilai tukar dari mata uang rupiah ke yen,,,id,
2471,wie ist das wetter in berlin,,,de,
2472,show volume settings,,,en,
2473,la date de cet événement est elle correcte,,,fr,
2474,vad är nyheterna på s. v. t.,,,sv,
2475,aggiungi la colazione con enrico al bar al mio calendario,,,it,
2476,aggiungi chiamata calendario settimanale all'una del pomeriggio,,,it,
2477,berapa temperatur yang dibutuhkan untuk memasak daging babi,,,id,
2478,ipakita ang mga timing ng palabas,,,tl,
2479,var god radera min lunch dejt från den tjugotredje mars schemat,,,sv,
